"pages","bodybr1precedingsiblingprecedingsiblingtext1selftext","bodydiv1u1followingsiblingtext1selftext","bodyp1precedingsiblingtext1selftext","bodybr1followingsiblingtext1selftext","bodydiv1tt1followingsiblingtext1selftext","bodyh31text1selftext","bodydiv1strong1followingsiblingtext1selftext","bodybr1precedingsiblingfollowingsiblingtext1selftext","titletextselftext","bodyi1followingsiblingtext1selftext","bodyp1text1selftext"
"printer1.html","","Dell","printer 1 specs","","Leo","printer 1 specs","1.23","","printer 1","","A very serious and spiritual printer."
"drink3.html","","","","","","","","","drink3","",""
"printer3.html","","Canon","printer 3 specs","","Ivy","printer 3 specs","5.46","","printer 3","","A very lame printer."
"drink9.html","","","","","","","","","drink9","",""
"drink6.html","","","","","","","","","drink6","",""
"person3.html","Person 3 details","","Person 3 details","0123454321","","","","name3@domain3.uk","person3","Street 3","Mail:"
"drink1.html","","","","","","","","","drink1","",""
"drink4.html","","","","","","","","","drink4","",""
"drink7.html","","","","","","","","","drink7","",""
"printer2.html","","HP","printer specs","","Vic","printer specs","3.12","","printer 2","","A very fine printer."
"person1.html","Person 1 details","","Person 1 details","0123456789","","","","name1@domain1.uk","person1","Street 1","Mail:"
"drink8.html","","","","","","","","","drink8","",""
"person2.html","Person 2 details","","Person 2 details","098765432","","","","name2@domain2.uk","person2","Street 2","Mail:"
"drink2.html","","","","","","","","","drink2","",""
"drink5.html","","","","","","","","","drink5","",""
